"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"1","Conservative","Female","Old","High","Hispanic",0.851043141677359,0.0420114711591523
"2","Conservative","Male","Old","High","White",0.950982929624021,0.201086631064635
"3","Liberal","Male","Old","Moderate","Hispanic",0.884085814910853,0.0755678380493044
"4","Conservative","Female","Old","Moderate","White",0.938728598252131,0.0592408565762227
"5","Very liberal","Female","Old","High","White",0.959603483301704,0.140967413853071
"6","Moderate","Female","Old","Moderate","White",0.946921442372044,0.0522349907393296
"7","Moderate","Female","Middle-aged","High","White",0.913829687439639,0.0942671775243765
"8","Conservative","Female","Old","High","White",0.938961834437779,0.124205295762239
"9","Conservative","Male","Old","High","White",0.958443274269966,0.156878454412131
"10","Moderate","Male","Old","High","White",0.923704855439714,0.158299678799993
"11","Moderate","Female","Middle-aged","High","White",0.928455385803529,0.147122029875511
"12","Moderate","Male","Middle-aged","High","Black",0.883655092535144,0.18993964398981
"13","Moderate","Male","Old","High","White",0.930521291209892,0.194927365183308
"14","Moderate","Male","Old","Low","White",0.930082290844787,0.0588872418596868
"15","Liberal","Female","Old","High","White",0.963095052825337,0.0944691517231048
"16","Conservative","Male","Old","High","White",0.949744671475665,0.161698571961311
"17","Very liberal","Female","Old","High","White",0.93663507675567,0.120001685881513
"18","Conservative","Male","Old","Moderate","White",0.940592571813517,0.103827644089525
"19","Very conservative","Male","Middle-aged","High","White",0.882367772143844,0.202154776310147
"20","Liberal","Male","Old","High","White",0.933932140943107,0.220464903060202
"21","Conservative","Female","Old","Moderate","White",0.949166734250687,0.0442898857903766
"22","Conservative","Male","Old","Low","White",0.932989492295362,0.0499836710369738
"23","Conservative","Female","Old","Low","Hispanic",0.80824211495978,0.0154373824450604
"24","Very liberal","Male","Old","Moderate","White",0.922340795447366,0.132504099682896
"25","Very liberal","Male","Old","Moderate","White",0.920538624550669,0.133022158404972
"26","Liberal","Female","Old","High","White",0.937931074745225,0.13117238040973
"27","Conservative","Male","Old","High","White",0.94738164983643,0.203263927935653
"28","Moderate","Female","Middle-aged","High","White",0.92135531462835,0.092741673492699
"29","Moderate","Male","Old","High","White",0.941052754481739,0.235200493901799
"30","Moderate","Male","Old","High","Black",0.94647748620398,0.133078182841747
"31","Moderate","Female","Old","Moderate","White",0.937527498194078,0.0693813874901554
"32","Moderate","Male","Old","Low","White",0.903732175080302,0.0624768419605362
"33","Conservative","Female","Middle-aged","High","White",0.919421581244763,0.130198830197103
"34","Conservative","Male","Old","High","White",0.919811341812198,0.138681979910455
"35","Liberal","Female","Middle-aged","High","White",0.918191400521056,0.1727856846382
"36","Moderate","Male","Old","High","White",0.95232174403754,0.227994371245677
"37","Liberal","Female","Middle-aged","High","White",0.921854656442364,0.1715032353993
"38","Conservative","Male","Middle-aged","High","White",0.899544402341119,0.180841179549198
"39","Very liberal","Female","Middle-aged","High","White",0.918506573436021,0.197551796227267
"40","Liberal","Male","Middle-aged","High","White",0.924190506683081,0.275811191650725
"41","Moderate","Female","Old","High","White",0.944646238953796,0.141019432434866
"42","Very liberal","Male","Old","High","Hispanic",0.882370553818305,0.178957827183264
"43","Conservative","Male","Old","Moderate","White",0.913913860073148,0.0867455751676159
"44","Conservative","Female","Old","High","White",0.934538161022496,0.125681104060369
"45","Liberal","Male","Old","High","White",0.962537932929926,0.202466855127001
"46","Moderate","Female","Old","Moderate","Black",0.928454927462896,0.0485475537755123
"47","Moderate","Female","Middle-aged","High","Black",0.892747134373198,0.110802000806224
"48","Moderate","Male","Old","Low","Hispanic",0.790232610824763,0.0337517669894692
"49","Very liberal","Male","Old","High","Asian",0.905450131618655,0.129367079622839
"50","Moderate","Female","Old","High","Hispanic",0.89073518099925,0.0769670446350308
"51","Moderate","Male","Middle-aged","High","White",0.899801566269918,0.165627300220281
"52","Very liberal","Female","Old","High","White",0.955618815589792,0.179659883961034
"53","Conservative","Male","Old","Moderate","White",0.919711408718919,0.109397808089886
"54","Very liberal","Male","Old","High","White",0.95699250266116,0.287208954159887
"55","Liberal","Female","Middle-aged","High","White",0.936546290849909,0.165825539070938
"56","Moderate","Male","Middle-aged","High","Black",0.883655092535144,0.18993964398981
"57","Conservative","Male","Old","Moderate","White",0.941894530166679,0.0808743144696924
"58","Moderate","Male","Old","High","White",0.953319166862731,0.146112372635841
"59","Conservative","Male","Old","High","White",0.92524420681737,0.17233727165164
"60","Conservative","Female","Old","Low","White",0.920655449966216,0.02854090060571
"61","Moderate","Male","Old","Low","White",0.930082290844787,0.0588872418596868
"62","Moderate","Female","Old","High","White",0.94332988783258,0.1415653510176
"63","Liberal","Female","Middle-aged","High","Other",0.908396635075219,0.117403967504366
"64","Moderate","Male","Middle-aged","Moderate","White",0.894967718204323,0.104406536742832
"65","Conservative","Male","Middle-aged","High","White",0.912368824354739,0.219766228185159
"66","Conservative","Female","Middle-aged","High","White",0.919421581244763,0.130198830197103
"67","Moderate","Female","Old","High","White",0.940608478337606,0.142662482366456
"68","Conservative","Female","Old","Low","White",0.924217476307653,0.0282924472535352
"69","Moderate","Male","Old","Low","White",0.931684076274143,0.0586383760292244
"70","Moderate","Female","Old","High","Hispanic",0.893134819643926,0.0766479939536326
"71","Moderate","Female","Old","High","White",0.939202286372519,0.143213701096355
"72","Liberal","Female","Old","Moderate","White",0.950813128744251,0.077494912625918
"73","Conservative","Female","Old","High","White",0.934372287489337,0.0772044504382528
"74","Conservative","Female","Old","High","White",0.950545952439153,0.0941215588530647
"75","Liberal","Male","Old","High","White",0.954714450281933,0.256483885772588
"76","Very liberal","Female","Old","High","White",0.969760270764736,0.169293098988016
"77","Conservative","Male","Old","Low","Hispanic",0.759117497871214,0.0296775722085412
"78","Liberal","Male","Old","High","White",0.942499844381427,0.173563034918899
"79","Moderate","Male","Middle-aged","Moderate","White",0.910369230957581,0.128973639782391
"80","Liberal","Female","Old","High","White",0.953271553632128,0.157891629973424
"81","Moderate","Female","Middle-aged","High","Hispanic",0.789807206594146,0.0528471700187773
"82","Moderate","Female","Middle-aged","Moderate","White",0.891706141853227,0.0461109858907665
"83","Moderate","Female","Old","High","White",0.948291908635154,0.0861481248098577
"84","Conservative","Female","Old","Low","White",0.895904446333543,0.0300766769712551
"85","Moderate","Male","Middle-aged","High","White",0.920319639036002,0.245884820010599
"86","Very liberal","Female","Young","High","White",0.897822299065979,0.204781803318068
"87","Moderate","Male","Old","High","White",0.957666120470843,0.22405876987215
"88","Liberal","Female","Old","High","White",0.950876418002731,0.0991902819761538
"89","Conservative","Female","Old","Low","White",0.922455194478526,0.0284164103346807
"90","Moderate","Female","Old","High","White",0.950806538781686,0.138316189696757
"91","Moderate","Female","Middle-aged","Moderate","White",0.915665585766532,0.0732546294551286
"92","Liberal","Male","Old","High","White",0.957836198015337,0.253918195786945
"93","Moderate","Male","Old","Moderate","White",0.939271359413067,0.0739315217149822
"94","Very conservative","Female","Old","High","White",0.920744027788214,0.0685422875792365
"95","Moderate","Male","Old","Moderate","Black",0.854677550404289,0.0596061287113667
"96","Very conservative","Female","Old","High","White",0.930982481721049,0.0668386323253604
"97","Conservative","Male","Old","High","White",0.940668191338076,0.13184149521026
"98","Liberal","Female","Old","High","White",0.936385159338705,0.10370126064946
"99","Moderate","Female","Old","Low","White",0.917260599235324,0.0337606159031106
"100","Moderate","Male","Middle-aged","Low","White",0.84444356294191,0.0685322902463808
