"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"1","Conservative","Female","Old","High","Hispanic",0.999997148432034,0.741499718687979
"2","Conservative","Male","Old","High","White",0.999998955663439,0.667767913971842
"3","Liberal","Male","Old","Moderate","Hispanic",0.999999228356878,0.689330737592475
"4","Conservative","Female","Old","Moderate","White",0.999997756991119,0.762252594326207
"5","Very liberal","Female","Old","High","White",0.999998953256087,0.717709072806853
"6","Moderate","Female","Old","Moderate","White",0.999998769408526,0.777026911483121
"7","Moderate","Female","Middle-aged","High","White",0.99998436666764,0.6813149782526
"8","Conservative","Female","Old","High","White",0.999996067853241,0.707749808954358
"9","Conservative","Male","Old","High","White",0.999999579495527,0.709333843307364
"10","Moderate","Male","Old","High","White",0.999993725465598,0.626214579421384
"11","Moderate","Female","Middle-aged","High","White",0.999990046994111,0.665440814753899
"12","Moderate","Male","Middle-aged","High","Black",0.999991551537185,0.582836969313607
"13","Moderate","Male","Old","High","White",0.999994993523614,0.617728605932381
"14","Moderate","Male","Old","Low","White",0.999998035730553,0.72062549814617
"15","Liberal","Female","Old","High","White",0.999999532550898,0.76502377986048
"16","Conservative","Male","Old","High","White",0.999999039708411,0.685093013304482
"17","Very liberal","Female","Old","High","White",0.999993829441284,0.680012859506102
"18","Conservative","Male","Old","Moderate","White",0.999998639578066,0.703458581535759
"19","Very conservative","Male","Middle-aged","High","White",0.999957065709339,0.561878016229327
"20","Liberal","Male","Old","High","White",0.999994995075874,0.601640853049018
"21","Conservative","Female","Old","Moderate","White",0.999999185422542,0.797940592743147
"22","Conservative","Male","Old","Low","White",0.999998699771579,0.745093879362969
"23","Conservative","Female","Old","Low","Hispanic",0.999995344502392,0.778265326501431
"24","Very liberal","Male","Old","Moderate","White",0.999992773562823,0.621530853744796
"25","Very liberal","Male","Old","Moderate","White",0.999991987777841,0.618147289042308
"26","Liberal","Female","Old","High","White",0.999994539421168,0.683735141442259
"27","Conservative","Male","Old","High","White",0.999998576597924,0.658142907309615
"28","Moderate","Female","Middle-aged","High","White",0.999989654833428,0.69365404356601
"29","Moderate","Male","Old","High","White",0.999997069134338,0.619376634540252
"30","Moderate","Male","Old","High","Black",0.999999790431674,0.714261645948089
"31","Moderate","Female","Old","Moderate","White",0.999996943789647,0.741615072836277
"32","Moderate","Male","Old","Low","White",0.999991666919257,0.678423791967537
"33","Conservative","Female","Middle-aged","High","White",0.999986430162647,0.67088047305995
"34","Conservative","Male","Old","High","White",0.999993723519575,0.641900608838513
"35","Liberal","Female","Middle-aged","High","White",0.99997727798824,0.623668975677747
"36","Moderate","Male","Old","High","White",0.999998842463083,0.649339232799964
"37","Liberal","Female","Middle-aged","High","White",0.999981516235096,0.630385041827009
"38","Conservative","Male","Middle-aged","High","White",0.999978754493541,0.585768896954929
"39","Very liberal","Female","Middle-aged","High","White",0.999972076617111,0.600805023181925
"40","Liberal","Male","Middle-aged","High","White",0.999988789219644,0.557894639349777
"41","Moderate","Female","Old","High","White",0.999996802303969,0.699640617442849
"42","Very liberal","Male","Old","High","Hispanic",0.999998156818573,0.600059780564646
"43","Conservative","Male","Old","Moderate","White",0.999994116027236,0.674279376630955
"44","Conservative","Female","Old","High","White",0.999994640597481,0.698760579616418
"45","Liberal","Male","Old","High","White",0.999999579756243,0.680686289403438
"46","Moderate","Female","Old","Moderate","Black",0.999999260275147,0.776698245404779
"47","Moderate","Female","Middle-aged","High","Black",0.999991686382406,0.669842655516384
"48","Moderate","Male","Old","Low","Hispanic",0.99999355377227,0.683921728171148
"49","Very liberal","Male","Old","High","Asian",0.999998748909455,0.64501860919251
"50","Moderate","Female","Old","High","Hispanic",0.999998799025925,0.725401945429148
"51","Moderate","Male","Middle-aged","High","White",0.999978346707867,0.585089210469783
"52","Very liberal","Female","Old","High","White",0.999998092682794,0.686145391971658
"53","Conservative","Male","Old","Moderate","White",0.999994794647347,0.663102868884534
"54","Very liberal","Male","Old","High","White",0.999998843180764,0.617963348800871
"55","Liberal","Female","Middle-aged","High","White",0.999992699821808,0.659956820203903
"56","Moderate","Male","Middle-aged","High","Black",0.999991551537185,0.582836969313607
"57","Conservative","Male","Old","Moderate","White",0.999998982397429,0.725460385072687
"58","Moderate","Male","Old","High","White",0.999999281919759,0.693716960648613
"59","Conservative","Male","Old","High","White",0.99999444740878,0.630222369907825
"60","Conservative","Female","Old","Low","White",0.999996017545748,0.783758788371589
"61","Moderate","Male","Old","Low","White",0.999998035730553,0.72062549814617
"62","Moderate","Female","Old","High","White",0.999996454592824,0.696614500205836
"63","Liberal","Female","Middle-aged","High","Other",0.999988603109432,0.660614941002117
"64","Moderate","Male","Middle-aged","Moderate","White",0.99998169159124,0.622938994691983
"65","Conservative","Male","Middle-aged","High","White",0.999986210063763,0.583978420929302
"66","Conservative","Female","Middle-aged","High","White",0.999986430162647,0.67088047305995
"67","Moderate","Female","Old","High","White",0.999995641631459,0.690511031433941
"68","Conservative","Female","Old","Low","White",0.99999676038849,0.788586338121312
"69","Moderate","Male","Old","Low","White",0.999998228373969,0.723507176633653
"70","Moderate","Female","Old","High","Hispanic",0.999998916810126,0.728252934907814
"71","Moderate","Female","Old","High","White",0.99999516771169,0.687434026202019
"72","Liberal","Female","Old","Moderate","White",0.999998662121808,0.750567603050642
"73","Conservative","Female","Old","High","White",0.999996313755564,0.736617613825152
"74","Conservative","Female","Old","High","White",0.999998712039486,0.751614726872258
"75","Liberal","Male","Old","High","White",0.999998842821979,0.633793149609655
"76","Very liberal","Female","Old","High","White",0.999999634272079,0.73339316677713
"77","Conservative","Male","Old","Low","Hispanic",0.999989196017092,0.683016501005562
"78","Liberal","Male","Old","High","White",0.999997765616785,0.64382195769356
"79","Moderate","Male","Middle-aged","Moderate","White",0.99998928192638,0.624578212182297
"80","Liberal","Female","Old","High","White",0.999998092091244,0.700519186208441
"81","Moderate","Female","Middle-aged","High","Hispanic",0.9999797374431,0.67113908829969
"82","Moderate","Female","Middle-aged","Moderate","White",0.999974965498758,0.71029522371145
"83","Moderate","Female","Old","High","White",0.999998386319259,0.745683918510553
"84","Conservative","Female","Old","Low","White",0.999986256553196,0.75313379780469
"85","Moderate","Male","Middle-aged","High","White",0.999988785742681,0.574499621279977
"86","Very liberal","Female","Young","High","White",0.999921614264225,0.565921135772047
"87","Moderate","Male","Old","High","White",0.999999309140727,0.665506732070954
"88","Liberal","Female","Old","High","White",0.999998386819583,0.732650541260311
"89","Conservative","Female","Old","Low","White",0.999996408119555,0.786182482125419
"90","Moderate","Female","Old","High","White",0.999998091499511,0.714508594362612
"91","Moderate","Female","Middle-aged","Moderate","White",0.999988306145305,0.70426903580184
"92","Liberal","Male","Old","High","White",0.999999150989556,0.643732611469099
"93","Moderate","Male","Old","Moderate","White",0.999998725049591,0.719138438890142
"94","Very conservative","Female","Old","High","White",0.999993149977699,0.733004199254739
"95","Moderate","Male","Old","Moderate","Black",0.999990694583476,0.658920297290766
"96","Very conservative","Female","Old","High","White",0.999996312612287,0.749523712606068
"97","Conservative","Male","Old","High","White",0.999998359636904,0.683584163963385
"98","Liberal","Female","Old","High","White",0.999994978869855,0.700600914807586
"99","Moderate","Female","Old","Low","White",0.999993983670585,0.76181540619808
"100","Moderate","Male","Middle-aged","Low","White",0.999919273860807,0.606025338121504
"101","Moderate","Female","Old","Moderate","White",0.999996169700006,0.748470723647853
"102","Moderate","Male","Old","High","White",0.999999117263489,0.687581342583356
"103","Liberal","Male","Old","High","Hispanic",0.999997733473708,0.609356356473625
"104","Very liberal","Female","Old","High","White",0.999998973287725,0.704394942806105
"105","Very conservative","Male","Old","Moderate","White",0.999997903397743,0.718858856519886
"106","Conservative","Female","Old","Low","White",0.999994572029919,0.776368765521542
"107","Liberal","Female","Old","High","White",0.999998417691153,0.719765961525989
"108","Moderate","Male","Old","High","White",0.999998391527534,0.654271722134676
"109","Conservative","Male","Middle-aged","Low","White",0.999978894456054,0.664835124408695
"110","Conservative","Female","Old","Moderate","White",0.999995833180266,0.746288412910442
"111","Conservative","Male","Old","Moderate","White",0.999998749060578,0.71970373195597
"112","Very conservative","Female","Old","Moderate","White",0.999996941893603,0.76667010724159
"113","Liberal","Female","Old","High","White",0.999999550270951,0.740928529938043
"114","Very liberal","Female","Middle-aged","High","White",0.99996044206132,0.621369542924975
"115","Moderate","Female","Old","Low","White",0.99999762386366,0.784467105469824
"116","Moderate","Female","Old","High","White",0.999998447490575,0.720330482753358
"117","Moderate","Male","Old","Moderate","White",0.999999064581052,0.727756494489853
"118","Moderate","Female","Old","Moderate","White",0.999998140355206,0.766917559792825
"119","Conservative","Male","Middle-aged","High","White",0.999968508937784,0.55582955065608
"120","Very liberal","Male","Middle-aged","High","White",0.999989694616253,0.560743633794234
"121","Very conservative","Female","Old","High","Hispanic",0.999995689435598,0.743445224658049
"122","Conservative","Male","Middle-aged","High","White",0.999988563403633,0.60650783736741
"123","Conservative","Male","Old","Moderate","White",0.999995765594995,0.669488138541526
"124","Conservative","Female","Old","Moderate","White",0.99999751309051,0.759640577452989
"125","Liberal","Female","Old","High","Asian",0.999997712243438,0.721459626022386
"126","Conservative","Male","Middle-aged","High","White",0.999989483776692,0.625234644729718
"127","Conservative","Male","Middle-aged","Moderate","White",0.999977047333777,0.646969820382626
"128","Moderate","Female","Old","Moderate","White",0.999999413971366,0.783151481178072
"129","Conservative","Female","Old","Moderate","White",0.999994777792341,0.753061354951178
"130","Conservative","Male","Old","High","White",0.999999587542766,0.695792129723892
"131","Moderate","Female","Middle-aged","High","White",0.999981510502498,0.645994993942864
"132","Liberal","Female","Old","High","White",0.999998861291735,0.715361366580252
"133","Conservative","Male","Old","High","Hispanic",0.999997642707533,0.670280347842001
"134","Moderate","Female","Old","High","White",0.999999216544508,0.764270766118806
"135","Moderate","Male","Old","High","White",0.999996687037365,0.631196955647243
"136","Moderate","Female","Old","Moderate","White",0.999994322506328,0.724765501459362
"137","Conservative","Male","Old","Moderate","White",0.999997197945058,0.682071440078715
"138","Moderate","Male","Old","High","White",0.999996005313259,0.609170216162695
"139","Conservative","Female","Middle-aged","High","White",0.999992695292866,0.689616111229362
"140","Very conservative","Female","Old","High","White",0.999998736295491,0.752137183809895
"141","Liberal","Female","Old","High","White",0.999994978869855,0.700600914807586
"142","Moderate","Male","Old","Low","White",0.999993886086692,0.687748700589818
"143","Conservative","Female","Old","High","White",0.999999306688742,0.767348242903397
"144","Liberal","Male","Old","High","White",0.999995485926577,0.605077235740025
"145","Moderate","Male","Old","High","Hispanic",0.999995330202597,0.601496587373986
"146","Conservative","Male","Old","High","Hispanic",0.999998731064971,0.689034313850179
