"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"1","Conservative","Female","Old","High","Hispanic",0.989232209719859,0.807344399358806
"2","Conservative","Male","Old","High","White",0.999738704087907,0.674913777821975
"3","Liberal","Male","Old","Moderate","Hispanic",0.998199707657588,0.707756117534899
"4","Conservative","Female","Old","Moderate","White",0.995078128446974,0.815781320200837
"5","Very liberal","Female","Old","High","White",0.999113925625871,0.76789723688519
"6","Moderate","Female","Old","Moderate","White",0.994980805583119,0.823347845973059
"7","Moderate","Female","Middle-aged","High","White",0.994639520763794,0.772094643849692
"8","Conservative","Female","Old","High","White",0.998338556083776,0.772957878741855
"9","Conservative","Male","Old","High","White",0.999711523294369,0.703922954243178
"10","Moderate","Male","Old","High","White",0.999016688985605,0.667789677483883
"11","Moderate","Female","Middle-aged","High","White",0.998075842388012,0.750193002428307
"12","Moderate","Male","Middle-aged","High","Black",0.999185063831305,0.633205693170826
"13","Moderate","Male","Old","High","White",0.999411654865177,0.654287103589342
"14","Moderate","Male","Old","Low","White",0.996396189854716,0.7457667251562
"15","Liberal","Female","Old","High","White",0.998768892939848,0.800438061841638
"16","Conservative","Male","Old","High","White",0.999609922785802,0.692385349679921
"17","Very liberal","Female","Old","High","White",0.997395433853068,0.760255101189146
"18","Conservative","Male","Old","Moderate","White",0.998950604134791,0.718831713584557
"19","Very conservative","Male","Middle-aged","High","White",0.998769194767586,0.633659403632348
"20","Liberal","Male","Old","High","White",0.999514625787342,0.639706200293035
"21","Conservative","Female","Old","Moderate","White",0.9947688195087,0.836227412954635
"22","Conservative","Male","Old","Low","White",0.996243756970637,0.762672234176197
"23","Conservative","Female","Old","Low","Hispanic",0.93183711362835,0.845703532708904
"24","Very liberal","Male","Old","Moderate","White",0.998330845468181,0.670749282546177
"25","Very liberal","Male","Old","Moderate","White",0.99826677808802,0.669235992672799
"26","Liberal","Female","Old","High","White",0.998037678072107,0.759659803314271
"27","Conservative","Male","Old","High","White",0.99970739920244,0.670392674757071
"28","Moderate","Female","Middle-aged","High","White",0.99538695315647,0.776876142356676
"29","Moderate","Male","Old","High","White",0.999685685557485,0.645245096308867
"30","Moderate","Male","Old","High","Black",0.999674974064983,0.703984578969033
"31","Moderate","Female","Old","Moderate","White",0.995451695168033,0.802761103805788
"32","Moderate","Male","Old","Low","White",0.993903633404268,0.727175753919794
"33","Conservative","Female","Middle-aged","High","White",0.997389650509988,0.758222207337325
"34","Conservative","Male","Old","High","White",0.998808207976834,0.681799383040772
"35","Liberal","Female","Middle-aged","High","White",0.997854009146271,0.727314347830715
"36","Moderate","Male","Old","High","White",0.999776161816721,0.659215864165401
"37","Liberal","Female","Middle-aged","High","White",0.998009672162143,0.730020719608113
"38","Conservative","Male","Middle-aged","High","White",0.998791185613485,0.647019998214074
"39","Very liberal","Female","Middle-aged","High","White",0.998090579423133,0.711668653232134
"40","Liberal","Male","Middle-aged","High","White",0.999576622087481,0.609539942147467
