"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"1","Conservative","Female","Old","High","Hispanic",0.9674662144792,0.888572461656094
"2","Conservative","Male","Old","High","White",0.949542955547752,0.804147833074609
"3","Liberal","Male","Old","Moderate","Hispanic",0.971075743427762,0.816192121989543
"4","Conservative","Female","Old","Moderate","White",0.973063683530188,0.899905066010036
"5","Very liberal","Female","Old","High","White",0.980654417065107,0.832366793033082
"6","Moderate","Female","Old","Moderate","White",0.982146206902017,0.903696107407884
"7","Moderate","Female","Middle-aged","High","White",0.941207996382274,0.832172516078057
"8","Conservative","Female","Old","High","White",0.955146092638583,0.854838481822176
"9","Conservative","Male","Old","High","White",0.967861620996822,0.841850505745914
"10","Moderate","Male","Old","High","White",0.922838918820296,0.763630378192725
"11","Moderate","Female","Middle-aged","High","White",0.94029727999521,0.810702391935866
"12","Moderate","Male","Middle-aged","High","Black",0.896786096465678,0.714657644005327
"13","Moderate","Male","Old","High","White",0.922255149304006,0.750152502350721
"14","Moderate","Male","Old","Low","White",0.966243963762572,0.858708004479138
"15","Liberal","Female","Old","High","White",0.986313467469122,0.881966386430653
"16","Conservative","Male","Old","High","White",0.955597074622525,0.822957464703414
"17","Very liberal","Female","Old","High","White",0.964562785444216,0.805589937794724
"18","Conservative","Male","Old","Moderate","White",0.958007786597774,0.845532188087239
"19","Very conservative","Male","Middle-aged","High","White",0.793549132097815,0.724811419487359
"20","Liberal","Male","Old","High","White",0.927557564276314,0.717770943575474
"21","Conservative","Female","Old","Moderate","White",0.983683940843431,0.922209442220333
"22","Conservative","Male","Old","Low","White",0.969108266142465,0.88476700326921
"23","Conservative","Female","Old","Low","Hispanic",0.973223382195407,0.919610046072815
"24","Very liberal","Male","Old","Moderate","White",0.941400803632515,0.738473828132809
"25","Very liberal","Male","Old","Moderate","White",0.93904039696038,0.735188348768749
"26","Liberal","Female","Old","High","White",0.959973678859088,0.817185598340498
"27","Conservative","Male","Old","High","White",0.943152497661049,0.796018447501073
"28","Moderate","Female","Middle-aged","High","White",0.949844108988874,0.841426011978833
"29","Moderate","Male","Old","High","White",0.930294527338059,0.745924837024732
"30","Moderate","Male","Old","High","Black",0.977383909496203,0.836884072822067
"31","Moderate","Female","Old","Moderate","White",0.971731856517131,0.87861139606691
"32","Moderate","Male","Old","Low","White",0.940824248710781,0.827411599318073
"33","Conservative","Female","Middle-aged","High","White",0.927871419497587,0.827747210186973
"34","Conservative","Male","Old","High","White",0.917221946006331,0.792273014520422
"35","Liberal","Female","Middle-aged","High","White",0.923944193057488,0.760065583094944
"36","Moderate","Male","Old","High","White",0.951164545707536,0.77372847703564
"37","Liberal","Female","Middle-aged","High","White",0.929640889919262,0.76619081312215
"38","Conservative","Male","Middle-aged","High","White",0.859241455567876,0.736569204947377
