"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"1","Conservative","Female","Old","High","Hispanic",0.982958336577982,0.820635869176263
"2","Conservative","Male","Old","High","White",0.982474020875157,0.762905938714276
"3","Liberal","Male","Old","Moderate","Hispanic",0.984098691706165,0.811590008066812
"4","Conservative","Female","Old","Moderate","White",0.991339180602707,0.807463545599297
"5","Very liberal","Female","Old","High","White",0.998355976480867,0.803047202265875
"6","Moderate","Female","Old","Moderate","White",0.995340249351264,0.818606529729411
"7","Moderate","Female","Middle-aged","High","White",0.98528635905744,0.790174388211646
"8","Conservative","Female","Old","High","White",0.990528232150954,0.783658252303125
"9","Conservative","Male","Old","High","White",0.988145012550915,0.776480834791033
"10","Moderate","Male","Old","High","White",0.966790572465196,0.767040645741256
"11","Moderate","Female","Middle-aged","High","White",0.989675862728335,0.779033251690981
"12","Moderate","Male","Middle-aged","High","Black",0.954160419895587,0.762406255855607
"13","Moderate","Male","Old","High","White",0.972091425830081,0.761097890631642
"14","Moderate","Male","Old","Low","White",0.975897850684123,0.802639331133448
"15","Liberal","Female","Old","High","White",0.998289050526363,0.812974625811533
"16","Conservative","Male","Old","High","White",0.982086570871988,0.770925488877635
"17","Very liberal","Female","Old","High","White",0.995696699901835,0.79881790934702
"18","Conservative","Male","Old","Moderate","White",0.975820233640109,0.783035807890148
"19","Very conservative","Male","Middle-aged","High","White",0.852810249767526,0.73443980492247
"20","Liberal","Male","Old","High","White",0.980825381653205,0.762662532262864
"21","Conservative","Female","Old","Moderate","White",0.99445505168155,0.819679221082797
"22","Conservative","Male","Old","Low","White",0.971425276030295,0.803783813403477
"23","Conservative","Female","Old","Low","Hispanic",0.971993443075629,0.84136204933905
"24","Very liberal","Male","Old","Moderate","White",0.980887246857842,0.783598128082801
"25","Very liberal","Male","Old","Moderate","White",0.979880333776248,0.782924797752654
"26","Liberal","Female","Old","High","White",0.99444103132063,0.791396551928482
"27","Conservative","Male","Old","High","White",0.979553449189786,0.760746931590599
"28","Moderate","Female","Middle-aged","High","White",0.988033828388932,0.792792710894941
"29","Moderate","Male","Old","High","White",0.979905120110221,0.757245948027579
