"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"1","Conservative","Female","Old","High","Hispanic",0.998826985095901,0.746535292363016
"2","Conservative","Male","Old","High","White",0.999220806772248,0.74273952151901
"3","Liberal","Male","Old","Moderate","Hispanic",0.999032561215653,0.669468400622771
"4","Conservative","Female","Old","Moderate","White",0.999224006252366,0.759681602306715
"5","Very liberal","Female","Old","High","White",0.999803174074213,0.680379940097868
"6","Moderate","Female","Old","Moderate","White",0.999562147975339,0.742311657759896
"7","Moderate","Female","Middle-aged","High","White",0.995693021995114,0.673695580475471
"8","Conservative","Female","Old","High","White",0.999103417894194,0.748245419683424
"9","Conservative","Male","Old","High","White",0.999642445306468,0.764611550200841
"10","Moderate","Male","Old","High","White",0.994324020599877,0.654824708521077
"11","Moderate","Female","Middle-aged","High","White",0.997938970896153,0.688918234058991
"12","Moderate","Male","Middle-aged","High","Black",0.993248404224873,0.642913215285174
"13","Moderate","Male","Old","High","White",0.996071111536501,0.662705620153424
"14","Moderate","Male","Old","Low","White",0.99690974183455,0.685278844167431
"15","Liberal","Female","Old","High","White",0.999888496893819,0.736638838199985
"16","Conservative","Male","Old","High","White",0.999175742516895,0.744008077427319
"17","Very liberal","Female","Old","High","White",0.998636704877174,0.625254655126327
"18","Conservative","Male","Old","Moderate","White",0.998446013470297,0.733155142072747
"19","Very conservative","Male","Middle-aged","High","White",0.964063805854867,0.674547659371611
"20","Liberal","Male","Old","High","White",0.996466914609437,0.623937112817517
"21","Conservative","Female","Old","Moderate","White",0.999679221893081,0.782911116179573
"22","Conservative","Male","Old","Low","White",0.997734414954952,0.731615176225362
"23","Conservative","Female","Old","Low","Hispanic",0.996619234760655,0.730191090134015
"24","Very liberal","Male","Old","Moderate","White",0.992987846033949,0.568011353394742
"25","Very liberal","Male","Old","Moderate","White",0.992221754295277,0.564596714025136
"26","Liberal","Female","Old","High","White",0.998836418765665,0.668664370975277
"27","Conservative","Male","Old","High","White",0.998934344444127,0.734689476067694
"28","Moderate","Female","Middle-aged","High","White",0.997159790750997,0.685800794208023
"29","Moderate","Male","Old","High","White",0.998011684725616,0.67964562114747
"30","Moderate","Male","Old","High","Black",0.999814255440064,0.746737856019256
"31","Moderate","Female","Old","Moderate","White",0.999045910947546,0.719128703431104
"32","Moderate","Male","Old","Low","White",0.986796707268088,0.641871300620605
"33","Conservative","Female","Middle-aged","High","White",0.99686670313077,0.715538828356298
"34","Conservative","Male","Old","High","White",0.993689674504944,0.691980951145271
"35","Liberal","Female","Middle-aged","High","White",0.995736564336743,0.625921758626346
"36","Moderate","Male","Old","High","White",0.999222459202982,0.706256510703985
"37","Liberal","Female","Middle-aged","High","White",0.996537592820468,0.632409272060548
"38","Conservative","Male","Middle-aged","High","White",0.981411924479814,0.656968321413682
"39","Very liberal","Female","Middle-aged","High","White",0.995279337551462,0.578805701154242
"40","Liberal","Male","Middle-aged","High","White",0.993084905270282,0.599245369471751
"41","Moderate","Female","Old","High","White",0.999345851234907,0.720712965207313
"42","Very liberal","Male","Old","High","Hispanic",0.998625834595144,0.606669133394651
"43","Conservative","Male","Old","Moderate","White",0.992172408287447,0.691852261615303
"44","Conservative","Female","Old","High","White",0.99877385171755,0.74030742278179
"45","Liberal","Male","Old","High","White",0.999711067705979,0.69845839214418
"46","Moderate","Female","Old","Moderate","Black",0.999734467673488,0.75207418481374
"47","Moderate","Female","Middle-aged","High","Black",0.997992195661086,0.689501799237404
"48","Moderate","Male","Old","Low","Hispanic",0.986101441480352,0.639925567088542
"49","Very liberal","Male","Old","High","Asian",0.998860767036857,0.61939448059486
"50","Moderate","Female","Old","High","Hispanic",0.999668218333604,0.738245290619719
"51","Moderate","Male","Middle-aged","High","White",0.980398011341912,0.616206621297854
"52","Very liberal","Female","Old","High","White",0.999686367356414,0.663594323060762
"53","Conservative","Male","Old","Moderate","White",0.993984764629779,0.696344272903399
"54","Very liberal","Male","Old","High","White",0.999371635258951,0.631604984487677
"55","Liberal","Female","Middle-aged","High","White",0.998644789152813,0.660986727120506
"56","Moderate","Male","Middle-aged","High","Black",0.993248404224873,0.642913215285174
"57","Conservative","Male","Old","Moderate","White",0.998665712821116,0.739841670647872
"58","Moderate","Male","Old","High","White",0.999363844837126,0.717537679842972
"59","Conservative","Male","Old","High","White",0.995152447979562,0.696471909487298
"60","Conservative","Female","Old","Low","White",0.997884024655905,0.742625374366901
"61","Moderate","Male","Old","Low","White",0.99690974183455,0.685278844167431
"62","Moderate","Female","Old","High","White",0.99927387623867,0.717905900254452
"63","Liberal","Female","Middle-aged","High","Other",0.997355262970952,0.643889900904642
"64","Moderate","Male","Middle-aged","Moderate","White",0.978114225528862,0.619346976843139
"65","Conservative","Male","Middle-aged","High","White",0.989491736851666,0.670992806261597
"66","Conservative","Female","Middle-aged","High","White",0.99686670313077,0.715538828356298
