"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"1","Conservative","Female","Old","High","Hispanic",0.765771968548128,0.773406636639667
"2","Conservative","Male","Old","High","White",0.701185061156703,0.677310074185234
"3","Liberal","Male","Old","Moderate","Hispanic",0.841883774147781,0.756626125020029
"4","Conservative","Female","Old","Moderate","White",0.856554097643685,0.731539612314599
"5","Very liberal","Female","Old","High","White",0.953297400690776,0.767833120991458
"6","Moderate","Female","Old","Moderate","White",0.924265495447233,0.745916706489148
"7","Moderate","Female","Middle-aged","High","White",0.801373618779604,0.74616499891319
"8","Conservative","Female","Old","High","White",0.778920203567304,0.727932098589885
"9","Conservative","Male","Old","High","White",0.782538517167662,0.677658711627314
"10","Moderate","Male","Old","High","White",0.699438735795868,0.698068254448306
"11","Moderate","Female","Middle-aged","High","White",0.790982935954173,0.74286687318546
"12","Moderate","Male","Middle-aged","High","Black",0.578254882485346,0.719286828676921
"13","Moderate","Male","Old","High","White",0.692664548914952,0.696237818994175
"14","Moderate","Male","Old","Low","White",0.844473470956596,0.702646593254194
"15","Liberal","Female","Old","High","White",0.953141524618239,0.755354287203511
"16","Conservative","Male","Old","High","White",0.729649733444106,0.678781499545611
"17","Very liberal","Female","Old","High","White",0.92475342174578,0.7710822360944
"18","Conservative","Male","Old","Moderate","White",0.748917413463468,0.682410995315889
"19","Very conservative","Male","Middle-aged","High","White",0.302230003933105,0.666769507496498
"20","Liberal","Male","Old","High","White",0.769894607522404,0.711036852971229
"21","Conservative","Female","Old","Moderate","White",0.904693043162517,0.731726631965921
"22","Conservative","Male","Old","Low","White",0.80855132473277,0.687053819378237
"23","Conservative","Female","Old","Low","Hispanic",0.810998200642701,0.778983808993419
"24","Very liberal","Male","Old","Moderate","White",0.85897061014265,0.730169713791416
"25","Very liberal","Male","Old","Moderate","White",0.854558000684424,0.730296399820438
"26","Liberal","Female","Old","High","White",0.885509009769686,0.756838986420356
"27","Conservative","Male","Old","High","White",0.678103354658086,0.677731599859915
"28","Moderate","Female","Middle-aged","High","White",0.823281381799652,0.745677470716679
"29","Moderate","Male","Old","High","White",0.708573011813383,0.693991577885952
"30","Moderate","Male","Old","High","Black",0.84736620488139,0.716092059302165
"31","Moderate","Female","Old","Moderate","White",0.888369306625067,0.745614181799605
"32","Moderate","Male","Old","Low","White",0.766466489898479,0.704524274326514
"33","Conservative","Female","Middle-aged","High","White",0.695904808656897,0.729457775343943
"34","Conservative","Male","Old","High","White",0.610524247566088,0.682901244189601
"35","Liberal","Female","Middle-aged","High","White",0.808190561065679,0.757136978621917
"36","Moderate","Male","Old","High","White",0.770669990792239,0.692761039158782
"37","Liberal","Female","Middle-aged","High","White",0.819092963924841,0.756900393214172
"38","Conservative","Male","Middle-aged","High","White",0.47852926175562,0.682973501557671
"39","Very liberal","Female","Middle-aged","High","White",0.853395786134774,0.770177139634657
"40","Liberal","Male","Middle-aged","High","White",0.693408191957284,0.710576664730218
"41","Moderate","Female","Old","High","White",0.848953143764397,0.741513289250262
"42","Very liberal","Male","Old","High","Hispanic",0.807207923393911,0.766541892282909
"43","Conservative","Male","Old","Moderate","White",0.66671275828202,0.685951803111955
"44","Conservative","Female","Old","High","White",0.759786014240964,0.728314022517505
"45","Liberal","Male","Old","High","White",0.888026743742581,0.707855348223965
"46","Moderate","Female","Old","Moderate","Black",0.914069446749202,0.765307469971042
"47","Moderate","Female","Middle-aged","High","Black",0.766655795971974,0.764099029482972
"48","Moderate","Male","Old","Low","Hispanic",0.704710656252826,0.749942191419755
"49","Very liberal","Male","Old","High","Asian",0.868791260099004,0.758277126147185
"50","Moderate","Female","Old","High","Hispanic",0.840170322022668,0.782230961605749
"51","Moderate","Male","Middle-aged","High","White",0.601834274131815,0.699692310235344
"52","Very liberal","Female","Old","High","White",0.936815734405203,0.767204160073651
"53","Conservative","Male","Old","Moderate","White",0.651439928394827,0.684220122131434
"54","Very liberal","Male","Old","High","White",0.881040301250293,0.722123037171584
"55","Liberal","Female","Middle-aged","High","White",0.862219602226316,0.755833824031504
"56","Moderate","Male","Middle-aged","High","Black",0.578254882485346,0.719286828676921
"57","Conservative","Male","Old","Moderate","White",0.78661894728379,0.68359188571049
"58","Moderate","Male","Old","High","White",0.831986796146766,0.695214207475825
"59","Conservative","Male","Old","High","White",0.594243610422426,0.681160560848379
"60","Conservative","Female","Old","Low","White",0.872024725372037,0.736491874706269
"61","Moderate","Male","Old","Low","White",0.844473470956596,0.702646593254194
"62","Moderate","Female","Old","High","White",0.84428392169676,0.741636533937035
"63","Liberal","Female","Middle-aged","High","Other",0.8438717443095,0.768124760094485
"64","Moderate","Male","Middle-aged","Moderate","White",0.66661426892786,0.702517288462915
"65","Conservative","Male","Middle-aged","High","White",0.488492632379245,0.680813926957838
"66","Conservative","Female","Middle-aged","High","White",0.695904808656897,0.729457775343943
"67","Moderate","Female","Old","High","White",0.8345930859301,0.741882908410098
"68","Conservative","Female","Old","Low","White",0.879838267768321,0.736242183907609
"69","Moderate","Male","Old","Low","White",0.849138024901898,0.70251221005995
"70","Moderate","Female","Old","High","Hispanic",0.844940238432901,0.782121392412837
"71","Moderate","Female","Old","High","White",0.829569075487929,0.742006038181174
"72","Liberal","Female","Old","Moderate","White",0.940306171682606,0.757898112481279
"73","Conservative","Female","Old","High","White",0.818054698164719,0.730720271738053
"74","Conservative","Female","Old","High","White",0.853069044325224,0.727993369997341
"75","Liberal","Male","Old","High","White",0.833023448659715,0.707658335897033
"76","Very liberal","Female","Old","High","White",0.963447967874741,0.765361367224512
"77","Conservative","Male","Old","Low","Hispanic",0.573201277879282,0.7370206889953
"78","Liberal","Male","Old","High","White",0.83192483442213,0.711496606587545
"79","Moderate","Male","Middle-aged","Moderate","White",0.683254543577259,0.700297493956762
"80","Liberal","Female","Old","High","White",0.908986392829803,0.754287640526384
"81","Moderate","Female","Middle-aged","High","Hispanic",0.710223731935005,0.787654637679567
"82","Moderate","Female","Middle-aged","Moderate","White",0.826766555300226,0.750819024189551
"83","Moderate","Female","Old","High","White",0.898986014493757,0.743475969840359
"84","Conservative","Female","Old","Low","White",0.815697914018587,0.737986828213436
"85","Moderate","Male","Middle-aged","High","White",0.60372045882178,0.695764146828207
"86","Very liberal","Female","Young","High","White",0.802484091394226,0.77131347606163
"87","Moderate","Male","Old","High","White",0.800894628680826,0.692076218029847
"88","Liberal","Female","Old","High","White",0.929636481244834,0.756777569099634
"89","Conservative","Female","Old","Low","White",0.875984311090865,0.736367048284394
"90","Moderate","Female","Old","High","White",0.870592863429844,0.740896491620112
"91","Moderate","Female","Middle-aged","Moderate","White",0.832955406026517,0.747196651939431
"92","Liberal","Male","Old","High","White",0.847494876292664,0.707259046296039
"93","Moderate","Male","Old","Moderate","White",0.849641902003035,0.700562275721872
"94","Very conservative","Female","Old","High","White",0.709376231955573,0.717310504240324
"95","Moderate","Male","Old","Moderate","Black",0.697476655938021,0.726680268994155
"96","Very conservative","Female","Old","High","White",0.751777130301458,0.71652741654957
"97","Conservative","Male","Old","High","White",0.714428115051372,0.681088083217498
"98","Liberal","Female","Old","High","White",0.898945760313227,0.758077298956196
"99","Moderate","Female","Old","Low","White",0.897546261602026,0.750515834274533
"100","Moderate","Male","Middle-aged","Low","White",0.598052870274784,0.707460955874905
"101","Moderate","Female","Old","Moderate","White",0.89150549746486,0.747255091215819
"102","Moderate","Male","Old","High","White",0.821692287619878,0.695486673761856
"103","Liberal","Male","Old","High","Hispanic",0.724109784443726,0.753839181121008
"104","Very liberal","Female","Old","High","White",0.948445640429205,0.766514296223033
"105","Very conservative","Male","Old","Moderate","White",0.658774647965101,0.669041034738132
"106","Conservative","Female","Old","Low","White",0.859495068576524,0.73686612615756
"107","Liberal","Female","Old","High","White",0.922526438578409,0.755415947769273
"108","Moderate","Male","Old","High","White",0.769973114068827,0.694739638968499
"109","Conservative","Male","Middle-aged","Low","White",0.615317624026723,0.690775023831502
"110","Conservative","Female","Old","Moderate","White",0.82795505205237,0.732296723127668
